[2026-02-24 11:40:46,643: INFO: main]: Welcome to our CNN log]
[2026-02-24 16:56:32,127: INFO: 2550532961]: :Testing from notebook!]
[2026-02-24 17:43:31,470: INFO: common]: yaml file: config/config.yaml loaded successfully]
[2026-02-24 17:43:31,472: INFO: common]: yaml file: params.yaml loaded successfully]
[2026-02-24 19:03:29,551: INFO: main]: >>>>> stage Data Ingestion Stage started <<<<<]
[2026-02-24 19:03:29,552: INFO: common]: yaml file: /Users/nihal/Downloads/End-End-Kidney-classification-using-MLflow-and-DVC/config/config.yaml loaded successfully]
[2026-02-24 19:03:29,552: INFO: common]: yaml file: /Users/nihal/Downloads/End-End-Kidney-classification-using-MLflow-and-DVC/params.yaml loaded successfully]
[2026-02-24 19:03:29,552: INFO: common]: created directory at: artifacts]
[2026-02-24 19:03:29,552: INFO: common]: created directory at: artifacts/data_ingestion]
[2026-02-24 19:03:29,552: INFO: data_ingestion]: Downloading data from https://drive.google.com/file/d/1vlR39c46AZAOded2SlWVNYWA1iysWjTb/view?usp=drive_link to artifacts/data_ingestion/data.zip]
[2026-02-24 19:03:31,896: INFO: data_ingestion]: Downloaded file size: ~ 11345 KB]
[2026-02-24 19:03:31,983: INFO: main]: >>>>> stage Data Ingestion Stage completed <<<<<

x==========x]
